2020-03-06 18:05:16,684 [1] INFO  TN.OrganizeImageFiles.Code - [SEND SMS (200) ] :  	 [SEND SMS TO +84975891464 SUCCESSFUL ! ] [ MESSAGE : Camera:30, SuCo: Tai nan, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:14:14,526 [1] INFO  TN.OrganizeImageFiles.Code - [READ SMS (404) ] :  	 [READ FAIL !]
2020-03-06 18:14:21,538 [1] ERROR TN.OrganizeImageFiles.Code - [SEND SMS (404) ] :  	 [SEND SMS TO +84975891464 FAIL. TRY AGAIN ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:14:34,267 [1] INFO  TN.OrganizeImageFiles.Code - [READ SMS (404) ] :  	 [READ FAIL !]
2020-03-06 18:14:41,280 [1] INFO  TN.OrganizeImageFiles.Code - [SEND SMS (200) ] :  	 [SEND SMS TO +84975891464 SUCCESSFUL ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:18:24,025 [1] INFO  TN.OrganizeImageFiles.Code - [READ SMS (404) ] :  	 [READ FAIL !]
2020-03-06 18:18:31,057 [1] ERROR TN.OrganizeImageFiles.Code - [SEND SMS (404) ] :  	 [SEND SMS TO +84975891464 FAIL. TRY AGAIN ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:18:53,509 [1] INFO  TN.OrganizeImageFiles.Code - [READ SMS (404) ] :  	 [READ FAIL !]
2020-03-06 18:19:00,525 [1] ERROR TN.OrganizeImageFiles.Code - [SEND SMS (404) ] :  	 [SEND SMS TO +84975891464 FAIL. TRY AGAIN ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:19:07,528 [1] ERROR TN.OrganizeImageFiles.Code - [SEND SMS (404) ] :  	 [SEND SMS TO +84975891464 FAIL. TRY AGAIN ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:20:14,557 [1] INFO  TN.OrganizeImageFiles.Code - [READ SMS (404) ] :  	 [READ FAIL !]
2020-03-06 18:20:21,573 [1] ERROR TN.OrganizeImageFiles.Code - [SEND SMS (404) ] :  	 [SEND SMS TO +84975891464 FAIL. TRY AGAIN ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:20:28,576 [1] ERROR TN.OrganizeImageFiles.Code - [SEND SMS (404) ] :  	 [SEND SMS TO +84975891464 FAIL. TRY AGAIN ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:20:42,038 [1] INFO  TN.OrganizeImageFiles.Code - [READ SMS (404) ] :  	 [READ FAIL !]
2020-03-06 18:20:49,051 [1] INFO  TN.OrganizeImageFiles.Code - [SEND SMS (200) ] :  	 [SEND SMS TO +84975891464 SUCCESSFUL ! ] [ MESSAGE : Camera:30, SuCo: Tai Nạn, ThoiGian: 2/27/2020 3:12:11 PM ]
2020-03-06 18:30:15,648 [1] DEBUG TN.OrganizeImageFiles.Code - Start 	 App Started!
2020-03-06 18:30:20,069 [DefaultQuartzScheduler_Worker-1] DEBUG TN.OrganizeImageFiles.Code - CONNECTION TO SQL SERVER :  	 Connection successful !
